Date,Team,Acquired,Relinquished,Notes
2000-12-28,Celtics,, Randy Brown,sprained right ankle (DNP)
2000-12-28,Hornets,, Elden Campbell,right bursa sac inflammation (DNP)
2000-12-28,Hornets,, Jamaal Magloire,sore left foot (DNP)
2000-12-28,Kings,, Hidayet Turkoglu / Hedo Turkoglu,sprained left ankle (DNP)
2000-12-28,Kings,, Scot Pollard,sprained right ankle (DNP)
2000-12-28,Lakers,, Horace Grant,back spasms (DNP)
2000-12-28,Mavericks,, Loy Vaught,bruised right knee (DNP)
2000-12-28,Nets,, Jim McIlvaine,strained lower back (DNP)
2000-12-28,Nets,, Kendall Gill,right knee tendinitis (DNP)
2000-12-28,Nuggets,, Robert Pack,abdominal cramps (DNP)
2000-12-29,Blazers,, Steve Smith (Delano),viral syndrome (DNP)
2000-12-29,Cavaliers,, Trajan Langdon,sore lower back (DNP)
2000-12-29,Grizzlies,, Grant Long,right thumb injury (DNP)
2000-12-29,Heat,, Don MacLean,recovering from surgery on right toe (DNP)
2000-12-29,Heat,, Duane Causwell,right knee tendinitis (DNP)
2000-12-29,Knicks,, Allan Houston,stomach virus (DNP)
2000-12-29,Knicks,, Marcus Camby,strained left groin (DNP)
2000-12-29,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2000-12-29,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2000-12-29,Wizards,, Jahidi White,sprained left knee (DNP)
2000-12-30,76ers,, Matt Geiger,sore right knee (DNP)
2000-12-30,Heat,, Duane Causwell,right patella tendinitis (DNP)
2000-12-30,Hornets,, Elden Campbell,right elbow inflammation (DNP)
2000-12-30,Hornets,, Jamaal Magloire,sore left foot (DNP)
2000-12-30,Knicks,, Marcus Camby,strained left groin (DNP)
2000-12-30,Rockets,, Kelvin Cato,sprained right ankle (DNP)
2000-12-30,Sonics,, Emanual Davis,sprained right knee (DNP)
2000-12-30,Spurs,, Antonio Daniels,sore right Achilles tendon (DNP)
2000-12-30,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2000-12-30,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2000-12-31,Wizards,, Jahidi White,sprained left knee (DNP)
2000-12-31,Wizards,, Rod Strickland,sore hamstrings (DNP)
2001-01-01,Hornets,, Elden Campbell,right elbow inflammation (DNP)
2001-01-01,Hornets,, Jamaal Magloire,sore left foot (DNP)
2001-01-01,Rockets,, Hakeem Olajuwon,swollen right knee (DNP)
2001-01-01,Rockets,, Kelvin Cato,sprained left ankle (DNP)
2001-01-02,Grizzlies,, Doug West,plantar fasciitis in right foot (DNP)
2001-01-02,Nets,, Jim McIlvaine,strained lower back (DNP)
2001-01-02,Raptors,, Antonio Davis,strained left groin (DNP)
2001-01-02,Rockets,, Hakeem Olajuwon,swollen right knee (DNP)
2001-01-02,Rockets,, Kelvin Cato,sprained left ankle (DNP)
2001-01-02,Sonics,, Emanual Davis,sprained right knee (DNP)
2001-01-02,Wizards,, Jahidi White,sprained left knee (DNP)
2001-01-02,Wizards,, Rod Strickland,sore hamstrings (DNP)
2001-01-03,76ers,, Matt Geiger,will undergo arthroscopic surgery on right knee (out 4-6 weeks)
2001-01-03,76ers,, Matt Geiger,sore right knee (DNP)
2001-01-03,Cavaliers,, Matt Harpring,sprained left Achilles tendon (DNP)
2001-01-03,Cavaliers,, Trajan Langdon,sore lower back (DNP)
2001-01-03,Knicks,, Glen Rice Sr.,plantar fasciatis in left foot (DNP)
2001-01-03,Magic,, Grant Hill,surgery on left ankle to graft bone (out indefinitely)
2001-01-03,Mavericks,, Courtney Alexander,flu (DNP)
2001-01-03,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-03,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2001-01-04,Bulls,, Brad Miller,strained right pectoral muscle (DNP)
2001-01-04,Knicks,, Glen Rice Sr.,plantar fasciatis in left foot (DNP)
2001-01-04,Mavericks,, Don Nelson,surgery for prostate cancer (out 6-8 weeks)
2001-01-04,Nets,, Jim McIlvaine,strained lower back (DNP)
2001-01-04,Rockets,, Hakeem Olajuwon,swollen right knee (DNP)
2001-01-04,Wizards,, Jahidi White,sprained left knee (DNP)
2001-01-04,Wizards,, Rod Strickland,sore hamstrings (DNP)
2001-01-05,Clippers,, Corey Maggette,upper respiratory infection (DNP)
2001-01-05,Clippers,, Keyon Dooling,gastro intestinal infection (DNP)
2001-01-05,Hornets,, Jamal Mashburn,left knee inflammation (DNP)
2001-01-05,Mavericks,, Courtney Alexander,flu (DNP)
2001-01-05,Pistons,, Jud Buechler,sprained right ankle (DTD)
2001-01-05,Raptors,, Antonio Davis,strained left groin (DNP)
2001-01-05,Rockets,, Walt Williams,flu (DNP)
2001-01-05,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-05,Warriors,, Chris Porter,sprained left ankle (DTD)
2001-01-05,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2001-01-06,Cavaliers,, Matt Harpring,bone spur in left ankle (DNP)
2001-01-06,Mavericks,, Courtney Alexander,flu (DNP)
2001-01-06,Pistons,, Jud Buechler,sprained right ankle (DNP)
2001-01-06,Rockets,, Hakeem Olajuwon,swollen right knee (DNP)
2001-01-06,Rockets,, Walt Williams,flu (DNP)
2001-01-06,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-06,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-06,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-06,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2001-01-06,Wizards,, Jahidi White,sprained left knee (DNP)
2001-01-06,Wizards,, Rod Strickland,sore left shoulder (DNP)
2001-01-07,Bucks,, Jason Caffey,flu (DNP)
2001-01-07,Hornets,, Jamal Mashburn,bone bruise in left knee / left knee inflammation (DNP)
2001-01-07,Knicks,, Glen Rice Sr.,plantar fasciatis in left foot (DNP)
2001-01-07,Raptors,, Antonio Davis,strained left groin (DNP)
2001-01-07,Wizards,, Jahidi White,sprained left knee (DNP)
2001-01-07,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-08,Blazers,, Arvydas Sabonis,toothache (DNP)
2001-01-08,Bulls,, Marcus Fizer,back spasms (DTD)
2001-01-08,Cavaliers,, Chris Mihm,bruised anterior tibial bone (DNP)
2001-01-08,Cavaliers,, Matt Harpring,bone spur in left ankle (DNP)
2001-01-08,Hornets,, Eldridge Recasner,strained back (DTD)
2001-01-08,Jazz,, Bryon Russell,sprained right ankle (DNP)
2001-01-08,Rockets,, Kelvin Cato,stomach virus (DNP)
2001-01-08,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-08,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-09,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-09,Bulls,, Marcus Fizer,back spasms (DNP)
2001-01-09,Hornets,, Eldridge Recasner,strained lower back (DNP)
2001-01-09,Hornets,, Jamal Mashburn,bone bruise in left knee (DNP)
2001-01-09,Jazz,, Bryon Russell,sprained right ankle (DNP)
2001-01-09,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-09,Raptors,, Antonio Davis,strained left groin (DNP)
2001-01-09,Rockets,, Kelvin Cato,stomach virus (DNP)
2001-01-09,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-09,Wizards,, Jahidi White,sprained left knee (DNP)
2001-01-09,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-10,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-10,Cavaliers,, Chris Mihm,bruised anterior tibial bone (DNP)
2001-01-10,Cavaliers,, Matt Harpring,bone spur in left ankle (DNP)
2001-01-10,Sonics,, Jelani McCoy,sore right knee (DNP)
2001-01-10,Wizards,, Jahidi White,sprained left knee (DNP)
2001-01-10,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-11,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-11,Cavaliers,, Matt Harpring,surgery on left ankle to repair bone spur (out 6-8 weeks)
2001-01-11,Hornets,, Eldridge Recasner,strained lower back (DNP)
2001-01-11,Hornets,, Jamal Mashburn,bone bruise in left knee (DNP)
2001-01-11,Knicks,, Glen Rice Sr.,plantar fasciatis in left foot (DNP)
2001-01-11,Knicks,, Luc Longley,back spasms (DNP)
2001-01-11,Mavericks,, Steve Nash,flu & strained left hamstring (DNP)
2001-01-11,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-11,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-11,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-11,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-12,Cavaliers,, Chris Mihm,bruised right knee (DNP)
2001-01-12,Cavaliers,, Matt Harpring,recovering from left ankle surgery (DNP)
2001-01-12,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-12,Hornets,, Eldridge Recasner,strained lower back (DNP)
2001-01-12,Hornets,, Jamal Mashburn,bone bruise in left knee (DNP)
2001-01-12,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-12,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-13,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-13,Cavaliers,, Chris Mihm,bruised right knee (DNP)
2001-01-13,Cavaliers,, Matt Harpring,recovering from left ankle surgery (DNP)
2001-01-13,Jazz,, Bryon Russell,sprained right ankle (DNP)
2001-01-13,Mavericks,, Steve Nash,flu & strained left hamstring (DNP)
2001-01-13,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-13,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-13,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-13,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-13,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-15,Cavaliers,, Chris Mihm,bone bruise in right knee (DNP)
2001-01-15,Cavaliers,, Matt Harpring,recovering from left ankle surgery (DNP)
2001-01-15,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-15,Jazz,, Bryon Russell,sprained right ankle (DNP)
2001-01-15,Mavericks,, Steve Nash,sore left hamstring (DNP)
2001-01-15,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-15,Rockets,, Kelvin Cato,strained left shoulder (DNP)
2001-01-15,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-15,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-15,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-15,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-15,Wizards,, Obinna Ekezie,sprained left ankle (DNP)
2001-01-15,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-16,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-16,Cavaliers,, Chris Mihm,bone bruise in right knee (DNP)
2001-01-16,Cavaliers,, Matt Harpring,recovering from left ankle surgery (DNP)
2001-01-16,Raptors,, Mamadou N'diaye,back injury (DNP)
2001-01-16,Rockets,, Kelvin Cato,partially torn left rotator cuff (DNP)
2001-01-17,Bulls,, Ron Artest / Metta World Peace,right knee/foot tendinitis (DNP)
2001-01-17,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-17,Mavericks,, Gary Trent,flu (DNP)
2001-01-17,Mavericks,, Steve Nash,strained left hamstring (DNP)
2001-01-17,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-17,Raptors,, Mamadou N'diaye,strained groin (DNP)
2001-01-17,Sonics,, Shammond Williams,sprained ankle (DNP)
2001-01-17,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-17,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-18,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-18,Mavericks,, Steve Nash,strained left hamstring (DNP)
2001-01-18,Rockets,, Kelvin Cato,partially torn left rotator cuff (DNP)
2001-01-18,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-18,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-18,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2001-01-18,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-19,76ers,, Allen Iverson,bruised left knee (DNP)
2001-01-19,Cavaliers,, Chris Mihm,bone bruise in right knee (DNP)
2001-01-19,Cavaliers,, Matt Harpring,recovering from left ankle surgery (DNP)
2001-01-19,Hornets,, Derrick Coleman,bruised left knee
2001-01-19,Hornets,, Elden Campbell,flu (DNP)
2001-01-19,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-19,Raptors,, Mamadou N'diaye,strained groin (DNP)
2001-01-19,Rockets,, Kelvin Cato,strained left shoulder (DNP)
2001-01-19,Rockets,, Maurice Taylor,flu (DNP)
2001-01-19,Timberwolves,, Chauncey Billups,sprained left ankle (DNP)
2001-01-19,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-19,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-19,Warriors,, Chucky Brown,stomach virus (DNP)
2001-01-19,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-19,Wizards,, Rod Strickland,strained left shoulder (DNP)
2001-01-20,Mavericks,, Steve Nash,strained left hamstring (DNP)
2001-01-20,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-20,Nets,, Kenyon Martin Sr.,flu (DNP)
2001-01-20,Spurs,, Malik Rose,sore right hip (DNP)
2001-01-21,76ers,, Rodney Buford,sprained left ankle (DNP)
2001-01-21,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-21,Lakers,, Horace Grant,back spasms (DNP)
2001-01-21,Pistons,, Jerry Stackhouse,flu (DNP)
2001-01-21,Raptors,, Mamadou N'diaye,strained groin (DNP)
2001-01-21,Sonics,, Emanual Davis,ill (DNP)
2001-01-21,Sonics,, Patrick Ewing Sr.,left knee inflammation (DNP)
2001-01-21,Timberwolves,, Chauncey Billups,sprained left ankle (DNP)
2001-01-21,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-21,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-21,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-21,Warriors,, Vinny Del Negro,bone spurs in left ankle (DNP)
2001-01-21,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-22,76ers,, Tyrone Hill,labrynthitis (DNP)
2001-01-22,Blazers,, Arvydas Sabonis,back spasms (DNP)
2001-01-22,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-22,Cavaliers,, Chris Mihm,bone bruise in right knee (DNP)
2001-01-22,Cavaliers,, Etdrick Bohannon,impacted molar (DNP)
2001-01-22,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-22,Knicks,, Luc Longley,stomach virus (DNP)
2001-01-22,Sonics,, Emanual Davis,ill (DNP)
2001-01-23,76ers,, Rodney Buford,sprained left ankle (DNP)
2001-01-23,76ers,, Tyrone Hill,labrynthitis (DNP)
2001-01-23,Blazers,, Arvydas Sabonis,back spasms (DNP)
2001-01-23,Blazers,, Scottie Pippen,right elbow tendinitis (DNP)
2001-01-23,Bulls,, Ron Artest / Metta World Peace,right knee tendinitis (DNP)
2001-01-23,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-23,Knicks,, Luc Longley,stomach virus (DNP)
2001-01-23,Lakers,, Horace Grant,back spasms (DNP)
2001-01-23,Rockets,, Kelvin Cato,partially torn left rotator cuff (DNP)
2001-01-23,Sonics,, Emanual Davis,ill (DNP)
2001-01-23,Timberwolves,, Chauncey Billups,sprained left ankle (DNP)
2001-01-23,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-23,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-23,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-01-23,Warriors,, Vinny Del Negro,bone spurs in left ankle (DNP)
2001-01-23,Wizards,, Chris Whitney,sprained left ankle (DNP)
2001-01-23,Wizards,, Rod Strickland,left shoulder tendinitis (DNP)
2001-01-24,76ers,, Rodney Buford,sprained left ankle (DNP)
2001-01-24,Bulls,, Ron Artest / Metta World Peace,right knee tendinitis (DNP)
2001-01-24,Cavaliers,, Chris Mihm,bone bruise in right knee (DNP)
2001-01-24,Sonics,, Emanual Davis,ill (DNP)
2001-01-24,Warriors,, Adonal Foyle,stress fracture in right tibia (DNP)
2001-01-24,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-24,Warriors,, Vinny Del Negro,bone spurs in left ankle (DNP)
2001-01-25,Blazers,, Arvydas Sabonis,back spasms (DNP)
2001-01-25,Timberwolves,, Chauncey Billups,sprained left ankle (DNP)
2001-01-26,Celtics,, Kenny Anderson,sprained right ankle (DNP)
2001-01-26,Nuggets,, Nick Van Exel,ruptured plantar fascia (DNP)
2001-01-26,Sonics,, Emanual Davis,ill (DNP)
2001-01-26,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-26,Warriors,, Erick Dampier,recovering from left knee surgery (DNP)
2001-01-27,Blazers,, Arvydas Sabonis,back spasms (DNP)
2001-01-27,Cavaliers,, Chris Mihm,bone bruise in right knee (DNP)
2001-01-27,Clippers,, Quentin Richardson,bruised left big toe (DNP)
2001-01-27,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-27,Nuggets,, Raef LaFrentz,sprained right ankle (DNP)
2001-01-27,Raptors,, Vince Carter,sore left knee (DNP)
2001-01-27,Sonics,, Emanual Davis,ill (DNP)
2001-01-27,Spurs,, Antonio Daniels,sprained right knee (DNP)
2001-01-27,Spurs,, Samaki Walker,sprained left ankle (DNP)
2001-01-27,Suns,, Iakovos Tsakalidis / Jake Tsakalidis,sprained right ankle (DNP)
2001-01-27,Timberwolves,, Chauncey Billups,sprained left ankle (DNP)
2001-01-28,76ers,, Toni Kukoc,strained lower back (DNP)
2001-01-28,Knicks,, Kurt Thomas,bruised right knee / sprained ankle (DNP)
2001-01-28,Lakers,, Shaquille O'Neal,sore right foot (DNP)
2001-01-29,Bucks,, Jason Caffey,sore left leg (DNP)
2001-01-29,Bucks,, Sam Cassell,bronchitis (DNP)
2001-01-29,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-29,Nuggets,, Raef LaFrentz,sprained right ankle (DNP)
2001-01-29,Spurs,, Antonio Daniels,sprained right knee (DNP)
2001-01-29,Spurs,, Samaki Walker,sprained left ankle (DNP)
2001-01-29,Warriors,, Chris Mills,surgery on right ankle to remove bone spurs (out for season) (date approximate)
2001-01-29,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-30,76ers,, Toni Kukoc,strained lower back (DNP)
2001-01-30,Blazers,, Scottie Pippen,surgery on right elbow to remove bone fragment (out 2-6 weeks)
2001-01-30,Bulls,, Marcus Fizer,stomach virus (DNP)
2001-01-30,Cavaliers,, Lamond Murray,sprained left ankle (DNP)
2001-01-30,Lakers,, Shaquille O'Neal,sore right foot (DNP)
2001-01-30,Warriors,, Chris Porter,sprained left ankle (DNP)
2001-01-30,Warriors,, Marc Jackson,strained left groin (DNP)
2001-01-31,Bucks,, Jason Caffey,sore left leg (DNP)
2001-01-31,Grizzlies,, Tony Massenburg,stomach virus (DNP)
2001-01-31,Lakers,, Horace Grant,sore left knee (DNP)
2001-01-31,Lakers,, Shaquille O'Neal,sore right foot (DNP)
2001-01-31,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-01-31,Raptors,, Tyrone Bogues / Muggsy Bogues,sore right knee (DNP)
2001-01-31,Raptors,, Vince Carter,sore left knee (DNP)
2001-01-31,Spurs,, Samaki Walker,sprained left ankle (DNP)
2001-02-01,76ers,, Toni Kukoc,strained lower back (DNP)
2001-02-01,Cavaliers,, Lamond Murray,sprained left ankle (DNP)
2001-02-01,Knicks,, Kurt Thomas,bruised right knee / sprained ankle (DNP)
2001-02-02,76ers,, Toni Kukoc,back spasms (DNP)
2001-02-02,Celtics,, Randy Brown,hyperextended left knee (DNP)
2001-02-02,Grizzlies,, Bryant Reeves,flu (DNP)
2001-02-02,Knicks,, Kurt Thomas,bruised right knee / sprained ankle (DNP)
2001-02-02,Lakers,, Shaquille O'Neal,sore right foot (DNP)
2001-02-02,Nets,, Keith Van Horn,intestinal virus (DNP)
2001-02-02,Nets,, Kendall Gill,right knee tendinitis (DNP)
2001-02-02,Pacers,, Jermaine O'Neal,strained left groin (DNP)
2001-02-03,Bucks,, Jason Caffey,sore left leg (DNP)
2001-02-03,Cavaliers,, Lamond Murray,sprained left ankle (DNP)
2001-02-03,Grizzlies,, Bryant Reeves,illness (DNP)
2001-02-03,Hawks,, Chris Crawford (Lee),mild concussion (DNP)
2001-02-03,Mavericks,, Steve Nash,sore left hamstring (DNP)
2001-02-03,Sonics,, Gary Payton Sr.,abdominal strain (DNP)
2001-02-03,Warriors,, Chris Porter,sprained right ankle (DNP)
2001-02-03,Warriors,, Larry Hughes,sprained right thumb (DNP)
2001-02-03,Wizards,, Rod Strickland,sore hamstrings (DNP)
2001-02-04,76ers,, Toni Kukoc,strained lower back (DNP)
2001-02-04,Cavaliers,, Chris Gatling,sprained left ankle (DNP)
2001-02-04,Celtics,, Randy Brown,hyperextended left knee (DNP)
